COUNTY_NAME,POP_2020,POP_2021,POP_2022,POP_2023,POP_2024,NC_20-21,NC_21-22,NC_22-23,NC_23-24,PC_20-21,PC_21-22,PC_22-23,PC_23-24,RANK_2020,RANK_2021,RANK_2022,RANK_2023,RANK_2024,County,State,Longitude,Latitude
Adams,20613,20900,21100,21200,21475,287,200,100,275,0.01,0.0096,0.0047,1.3,31,31,31,31,31,Adams,WA,-118.53331,47.00484
Asotin,22285,22500,22600,22650,22725,215,100,50,75,0.01,0.0044,0.0022,0.33,30,30,30,30,30,Asotin,WA,-117.22778,46.18186
Benton,206873,209400,212300,215500,217850,2527,2900,3200,2350,0.01,0.0139,0.0151,1.09,10,10,10,10,10,Benton,WA,-119.51686,46.22807
Chelan,79141,80000,80650,81500,82300,859,650,850,800,0.01,0.0081,0.0105,0.98,17,17,17,17,17,Chelan,WA,-120.61854,47.85989
Clallam,77155,77750,77625,78075,78550,595,-125,450,475,0.01,-0.0016,0.0058,0.61,18,18,18,18,18,Clallam,WA,-123.93061,48.11301
Clark,503311,513100,520900,527400,536300,9789,7800,6500,8900,0.02,0.0152,0.0125,1.69,5,5,5,5,5,Clark,WA,-122.48590,45.77167
Columbia,3952,3950,3950,3950,3975,-2,0,0,25,0.00,0,0,0.63,38,38,38,38,38,Columbia,WA,-117.91163,46.29285
Cowlitz,110730,111500,112350,113000,113900,770,850,650,900,0.01,0.0076,0.0058,0.8,12,12,12,12,12,Cowlitz,WA,-122.65868,46.18592
Douglas,42938,43550,44000,44500,45150,612,450,500,650,0.01,0.0103,0.0114,1.46,25,25,25,25,25,Douglas,WA,-119.69588,47.73587
Ferry,7178,7250,7300,7300,7350,72,50,0,50,0.01,0.0069,0,0.69,36,36,36,36,36,Ferry,WA,-118.51707,48.43725
Franklin,96749,98350,99750,101100,102300,1601,1400,1350,1200,0.02,0.0142,0.0135,1.19,14,14,14,14,14,Franklin,WA,-118.90694,46.53458
Garfield,2286,2300,2300,2300,2325,14,0,0,25,0.01,0,0,1.09,39,39,39,39,39,Garfield,WA,-117.53671,46.42947
Grant,99123,100800,101800,103300,105300,1677,1000,1500,2000,0.02,0.0099,0.0147,1.94,13,13,13,13,13,Grant,WA,-119.46779,47.21363
Grays Harbor,75636,76050,76400,77000,77400,414,350,600,400,0.01,0.0046,0.0079,0.52,19,19,19,19,19,Grays Harbor,WA,-123.82704,47.14279
Island,86857,87100,87700,88150,88650,243,600,450,500,0.00,0.0069,0.0051,0.57,15,15,15,15,15,Island,WA,-122.67050,48.15844
Jefferson,32977,33100,33350,33425,33700,123,250,75,275,0.00,0.0076,0.0023,0.82,27,27,27,27,27,Jefferson,WA,-123.52181,47.80264
King,2269675,2287050,2317700,2347800,2378100,17375,30650,30100,30300,0.01,0.0134,0.013,1.29,1,1,1,1,1,King,WA,-121.83237,47.49355
Kitsap,275611,277700,280900,283200,286100,2089,3200,2300,2900,0.01,0.0115,0.0082,1.02,7,7,7,7,7,Kitsap,WA,-122.64964,47.63969
Kittitas,46468,45225,47200,47300,48600,-1243,1975,100,1300,-0.03,0.0437,0.0021,2.75,23,23,23,24,23,Kittitas,WA,-120.67671,47.12444
Klickitat,22735,23000,23150,23250,23450,265,150,100,200,0.01,0.0065,0.0043,0.86,29,29,29,29,29,Klickitat,WA,-120.78012,45.86951
Lewis,82149,82700,83400,84075,84950,551,700,675,875,0.01,0.0085,0.0081,1.04,16,16,16,16,16,Lewis,WA,-122.37744,46.58007
Lincoln,10876,10900,11050,11125,11300,24,150,75,175,0.00,0.0138,0.0068,1.57,35,35,35,35,35,Lincoln,WA,-118.41767,47.58272
Mason,65726,65750,66200,67000,67475,24,450,800,475,0.00,0.0068,0.0121,0.71,20,20,20,20,20,Mason,WA,-123.17385,47.35413
